,date,country,GDP,quarter,ADM0_ISO,first,second,third,year
84,2013-03-31,中国,7.9,1,CHN,0.4296150366596546,0.417130761778899,0.4396391244463304,2013
85,2013-06-30,中国,7.6,2,CHN,0.4245221540594337,0.3299004601672519,0.231541764203554,2013
86,2013-09-30,中国,7.9,3,CHN,0.2168011761954878,0.4002052799538887,0.4108873218735917,2013
87,2013-12-31,中国,7.7,4,CHN,0.5526643351472379,0.515050292738875,0.5312690085821162,2013
88,2014-03-31,中国,7.5,1,CHN,0.4815875972312331,0.4432832407315728,0.3808380291248998,2014
89,2014-06-30,中国,7.6,2,CHN,0.4726666801162723,0.3444032395315322,0.1692703543306346,2014
90,2014-09-30,中国,7.2,3,CHN,0.277770375999822,0.4634723402351525,0.4261493323873669,2014
91,2014-12-31,中国,7.3,4,CHN,0.4640706645304027,0.5698587280035291,0.6299635080119292,2014
92,2015-03-31,中国,7.1,1,CHN,0.4634837137432578,0.6108314536820298,0.4247503112987236,2015
93,2015-06-30,中国,7.1,2,CHN,0.4664098043963041,0.271348959807297,0.1802464501558512,2015
94,2015-09-30,中国,7,3,CHN,0.2535331788425349,0.3735213867582751,0.3748171630931374,2015
95,2015-12-31,中国,6.9,4,CHN,0.4375838801014726,0.4524517582553682,0.5517755345178652,2015
96,2016-03-31,中国,6.9,1,CHN,0.4643073397890673,0.5583681461297927,0.4017329519681868,2016
97,2016-06-30,中国,6.8,2,CHN,0.4783176715042903,0.3534690809168693,0.203145259847749,2016
98,2016-09-30,中国,6.8,3,CHN,0.2948810386710299,0.4327073672540124,0.4079866485146449,2016
99,2016-12-31,中国,6.9,4,CHN,0.4871879795801671,0.4622903445115497,0.5580041400401741,2016
100,2017-03-31,中国,7,1,CHN,0.6122312984284305,0.5902063913071377,0.5591530609658445,2017
101,2017-06-30,中国,7,2,CHN,0.5822951213542482,0.4913497258546651,0.265349208221232,2017
102,2017-09-30,中国,6.9,3,CHN,0.4123996068576672,0.6139697430642763,0.6200126748317255,2017
103,2017-12-31,中国,6.8,4,CHN,0.7456840721360529,0.6751056238037028,0.567747773135911,2017
104,2018-03-31,中国,6.9,1,CHN,0.6163591894984888,0.6666741848591271,0.6026738934528244,2018
105,2018-06-30,中国,6.9,2,CHN,0.2513505718635937,0.1843750060507531,0.2908224992107806,2018
106,2018-09-30,中国,6.7,3,CHN,0.3742338283258133,0.5272707677530191,0.5704352682950156,2018
107,2018-12-31,中国,6.5,4,CHN,0.6889101613534554,0.7047006190140271,0.5673478602478169,2018
108,2019-03-31,中国,6.3,1,CHN,0.563473755570526,0.6324669733819605,0.674957471669279,2019
109,2019-06-30,中国,6,2,CHN,0.5990129299572085,0.5244975202135501,0.34270438658563,2019
110,2019-09-30,中国,5.9,3,CHN,0.4027255806090972,0.5806314785369275,0.6490799458611577,2019
111,2019-12-31,中国,5.8,4,CHN,0.7757281519485413,0.7212246394719247,0.7196362186304743,2019
112,2020-03-31,中国,-6.9,1,CHN,0.6490702847373191,0.6981810911968059,0.6495610373669167,2020
113,2020-06-30,中国,3.1,2,CHN,0.7159309733053364,0.5031475129697515,0.3251220766498507,2020
114,2020-09-30,中国,4.8,3,CHN,0.4774566900239304,0.6679837715533719,0.6560947370311763,2020
115,2020-12-31,中国,6.4,4,CHN,0.7830663615252474,0.7901516471405965,0.7701576986944276,2020
116,2021-03-31,中国,18.7,1,CHN,0.3352738057999068,0.3437780560957147,0.2866340213863231,2021
117,2021-06-30,中国,8.3,2,CHN,0.3040801300160689,0.2492139291564839,0.1554516185362139,2021
118,2021-09-30,中国,5.2,3,CHN,0.1889955949259301,0.289290419686906,0.2961670474005815,2021
119,2021-12-31,中国,4.3,4,CHN,0.3251406346483583,0.3496849247098535,0.3697003863419447,2021
120,2022-03-31,中国,4.8,1,CHN,0.3530587168628555,0.378083300831391,0.353544883492217,2022
121,2022-06-30,中国,0.4,2,CHN,0.3605859817783155,0.2806918221076308,0.1619357564284811,2022
122,2022-09-30,中国,3.9,3,CHN,0.0545712998021903,0.2653011526233643,0.3437045843787337,2022
123,2022-12-31,中国,2.9,4,CHN,0.3468248572244334,0.3466604096704269,0.3974155562072028,2022
124,2023-03-31,中国,4.5,1,CHN,0.4235223914097497,0.3436735958188544,0.3408496717572111,2023
125,2023-06-30,中国,6.3,2,CHN,0.3344436164496029,0.2488128618644147,0.1776377505420989,2023
126,2023-09-30,中国,4.9,3,CHN,0.2204257153322669,0.335557637486356,0.3691130773408964,2023
127,2023-12-31,中国,5.2,4,CHN,0.4012763117081546,0.4295359432382954,0.412859328970383,2023
390,2013-03-31,美国,1.7009,1,USA,1.078636679045398,1.189759265291134,0.934393435415968,2013
391,2013-06-30,美国,1.5202,2,USA,0.7995567839132816,0.5220839577021675,0.2726784460866657,2013
392,2013-09-30,美国,2.237,3,USA,0.3042053623073461,0.677720717628834,0.7358514533209525,2013
393,2013-12-31,美国,3.0086,4,USA,1.237079153593154,1.163028085072402,1.256398391876443,2013
394,2014-03-31,美国,1.651,1,USA,1.512944061827454,1.302795857392378,0.9795787466607162,2014
395,2014-06-30,美国,2.6889,2,USA,0.8162570571157414,0.4883732625342528,0.2067601323430757,2014
396,2014-09-30,美国,3.0593,3,USA,0.3939786222160528,0.7236196397643533,0.75550324445323,2014
397,2014-12-31,美国,2.6859,4,USA,1.096515987231281,1.209528230761384,1.305291378920951,2014
398,2015-03-31,美国,3.969,1,USA,1.379052932339714,1.683406644698232,0.825398389700852,2015
399,2015-06-30,美国,3.2789,2,USA,0.7917209861282634,0.3376707794697694,0.1995368582055567,2015
400,2015-09-30,美国,2.4475,3,USA,0.3576735804691942,0.6971995129204793,0.7861311198611074,2015
401,2015-12-31,美国,2.12,4,USA,0.8687211269161367,1.234263643463129,1.266394276483571,2015
402,2016-03-31,美国,1.7952,1,USA,1.313320167613878,1.314130601478865,0.9538056935386474,2016
403,2016-06-30,美国,1.4934,2,USA,0.924761143561747,0.4353666725510805,0.2387472203497324,2016
404,2016-09-30,美国,1.8057,3,USA,0.4108346911807799,0.7006741354390882,0.7138119199997179,2016
405,2016-12-31,美国,2.1819,4,USA,1.203877102004248,1.092747007621615,1.132966989914745,2016
406,2017-03-31,美国,2.0872,1,USA,1.256726142667852,1.359335190617636,1.158223338780937,2017
407,2017-06-30,美国,2.3302,2,USA,0.8445292608189465,0.5425168540055638,0.2534668278647076,2017
408,2017-09-30,美国,2.4112,3,USA,0.4480939170483644,0.8060151847677545,0.8633798246795071,2017
409,2017-12-31,美国,2.9941,4,USA,1.244852558600671,1.243493684851184,1.427679164829174,2017
410,2018-03-31,美国,3.3292,1,USA,1.422238942032781,1.293992427495033,1.04417921375603,2018
411,2018-06-30,美国,3.2993,2,USA,0.0543724832540994,0.0280218882130525,0.2821417666259138,2018
412,2018-09-30,美国,3.1301,3,USA,0.3897639427421521,0.7004663136425575,0.7785019744122466,2018
413,2018-12-31,美国,2.125,4,USA,0.9757046584634868,1.311724604358601,1.293024947708021,2018
414,2019-03-31,美国,1.8514,1,USA,1.308718250954809,1.375029848214705,1.208415915083692,2019
415,2019-06-30,美国,2.1538,2,USA,0.8941323849119561,0.531977177540115,0.2882492267649482,2019
416,2019-09-30,美国,2.6701,3,USA,0.4526498795461644,0.7801915202239075,0.864365064981816,2019
417,2019-12-31,美国,3.1825,4,USA,1.266041851463595,1.185244978869674,1.229974604239416,2019
418,2020-03-31,美国,1.2265,1,USA,1.152059418601639,1.277996456014986,0.944905448495679,2020
419,2020-06-30,美国,-7.5285,2,USA,0.8740586410135672,0.4940046092248322,0.2713715017417395,2020
420,2020-09-30,美国,-1.4689,3,USA,0.450810888074811,0.798415288711657,0.8119123840058026,2020
421,2020-12-31,美国,-1.0835,4,USA,1.087521430233251,1.22964715300081,1.381701207002218,2020
422,2021-03-31,美国,1.5722,1,USA,0.0782355945857721,0.1090705446979346,0.0607081129035208,2021
423,2021-06-30,美国,11.9502,2,USA,0.0525827333321784,0.0311815598514311,0.0165988055300759,2021
424,2021-09-30,美国,4.7353,3,USA,0.0226473863078673,0.0457082013771365,0.051157055635788,2021
425,2021-12-31,美国,5.4212,4,USA,0.0553797922519606,0.075970149066787,0.0813083680499284,2021
426,2022-03-31,美国,3.5654,1,USA,0.0975564708021636,0.0980413145936709,0.0668166916620204,2022
427,2022-06-30,美国,1.871,2,USA,0.0573255947631204,0.0349606140669224,0.0196340808354619,2022
428,2022-09-30,美国,1.713,3,USA,0.0184919135100266,0.0455755072510886,0.0572337210974245,2022
429,2022-12-31,美国,0.6518,4,USA,0.0830908885928055,0.0923878712377833,0.1080723348713478,2022
430,2023-03-31,美国,1.7177,1,USA,0.0977592984817044,0.096215432787038,0.0642129530714581,2023
431,2023-06-30,美国,2.3825,2,USA,0.0554005831104681,0.0275235111497546,0.0172074813418523,2023
432,2023-09-30,美国,2.9271,3,USA,0.0277351494093391,0.0539233976396834,0.0566979913998576,2023
433,2023-12-31,美国,3.1346,4,USA,0.0714780715934912,0.0852868597570538,0.0975922337498318,2023
519,2013-03-31,德国,-0.4,1,DEU,1.438186951523116,1.610822567455823,1.503390910002443,2013
520,2013-06-30,德国,0.5,2,DEU,0.4055351400465327,0.0,0.0,2013
521,2013-09-30,德国,0.7,3,DEU,0.0,0.004859915674586,1.045621878915818,2013
522,2013-12-31,德国,1.5,4,DEU,1.203463927082213,1.126780413833614,0.9910477084951576,2013
523,2014-03-31,德国,2.9,1,DEU,1.301196417680308,1.289097765658419,1.166181632223872,2014
524,2014-06-30,德国,1.8,2,DEU,0.4185825640008903,0.0,0.0,2014
525,2014-09-30,德国,1.8,3,DEU,0.0,0.0,1.125156746511389,2014
526,2014-12-31,德国,2.3,4,DEU,1.207287247316247,1.07713186973283,1.479661201089512,2014
527,2015-03-31,德国,0.8,1,DEU,1.646735443569543,1.413230643769397,1.245172275094161,2015
528,2015-06-30,德国,1.6,2,DEU,0.0,0.0,0.0,2015
529,2015-09-30,德国,1.5,3,DEU,0.0,0.0,1.066069272181518,2015
530,2015-12-31,德国,1.1,4,DEU,1.023916917620316,1.218539840161787,1.108681768988832,2015
531,2016-03-31,德国,2.5,1,DEU,1.482696272573257,1.08406744201122,1.196773407841777,2016
532,2016-06-30,德国,2.2,2,DEU,0.4306945353765741,0.0,0.0,2016
533,2016-09-30,德国,2,3,DEU,0.0,0.0,1.153001388374268,2016
534,2016-12-31,德国,1.9,4,DEU,1.178191034532225,1.143238007759813,1.115260148248427,2016
535,2017-03-31,德国,2.3,1,DEU,1.768258645001891,1.34421428893997,1.389234041923594,2017
536,2017-06-30,德国,2.7,2,DEU,0.6627669107264061,0.0,0.0,2017
537,2017-09-30,德国,3.2,3,DEU,0.0,0.0013485046576296,1.365541373349725,2017
538,2017-12-31,德国,3.8,4,DEU,1.418807164091794,1.248905589905148,1.155433924695964,2017
539,2018-03-31,德国,1.9,1,DEU,1.298655001669503,1.57108881100674,1.514241299007527,2018
540,2018-06-30,德国,1.8,2,DEU,0.2960886580325766,0.0,0.0,2018
541,2018-09-30,德国,0.2,3,DEU,0.0,0.0,1.338157199489851,2018
542,2018-12-31,德国,0.1,4,DEU,1.474968638988149,1.439460571809217,1.194700591100792,2018
543,2019-03-31,德国,1.4,1,DEU,1.460153114125532,1.54166376201626,1.299728317040979,2019
544,2019-06-30,德国,0.6,2,DEU,0.729252919423489,0.0,0.0,2019
545,2019-09-30,德国,1.5,3,DEU,0.0,5.342342318896857e-05,1.234038564746296,2019
546,2019-12-31,德国,0.9,4,DEU,1.376276517978509,1.296668318971508,1.32564547253198,2019
547,2020-03-31,德国,-1.5,1,DEU,1.206021850232661,1.335769996597572,1.437372280064431,2020
548,2020-06-30,德国,-10.6,2,DEU,0.3670426380050013,0.0,0.0,2020
549,2020-09-30,德国,-2.6,3,DEU,0.0,0.0,1.372300590344413,2020
550,2020-12-31,德国,-2.1,4,DEU,1.374186348200358,1.442110306981963,1.404005486660962,2020
551,2021-03-31,德国,-1.6,1,DEU,1.171694344244572,2.085260137947473,0.9010018793585172,2021
552,2021-06-30,德国,10.8,2,DEU,0.4805430174009265,0.0,0.0,2021
553,2021-09-30,德国,2.4,3,DEU,0.0,0.0,0.6944902940352985,2021
554,2021-12-31,德国,1.6,4,DEU,0.880739222880562,0.9167641764710828,0.8868451961705716,2021
555,2022-03-31,德国,4,1,DEU,0.916779528136752,0.964788396681674,1.079323272159283,2022
556,2022-06-30,德国,1.6,2,DEU,0.2510385732238179,0.0,0.0,2022
557,2022-09-30,德国,1.2,3,DEU,0.0,0.0,0.8761297936378745,2022
558,2022-12-31,德国,0.8,4,DEU,0.9135888616744094,0.8672920378092329,0.8861643331163143,2022
559,2023-03-31,德国,0.1,1,DEU,1.064787516473709,0.9525657067615224,0.9480078270715272,2023
560,2023-06-30,德国,0.2,2,DEU,0.0,0.0,0.0,2023
561,2023-09-30,德国,-0.1,3,DEU,0.0,0.0,0.9414388312747768,2023
562,2023-12-31,德国,-0.2,4,DEU,0.9145118761146016,0.8707280461820828,0.8489055067988756,2023
792,2013-03-31,日本,0,1,JPN,2.010611984540916,1.835659906461105,1.547542192320634,2013
793,2013-06-30,日本,1.8,2,JPN,1.34744217553921,1.234459680658097,0.2081887963822256,2013
794,2013-09-30,日本,3.1,3,JPN,0.927553043202844,1.232599873275962,1.318898527849359,2013
795,2013-12-31,日本,3.1,4,JPN,1.441991589308417,1.528327438714066,1.761599500345722,2013
796,2014-03-31,日本,2.9,1,JPN,1.918955136868189,1.80042649126529,1.620629740437159,2014
797,2014-06-30,日本,-0.1,2,JPN,1.52104560775306,1.262265661688261,0.1188090813216199,2014
798,2014-09-30,日本,-1.1,3,JPN,1.162336014368996,1.391338946680544,1.320807289728732,2014
799,2014-12-31,日本,-0.5,4,JPN,1.309156420287354,2.766319739168972,1.98409798605584,2014
800,2015-03-31,日本,0.3,1,JPN,1.841320857225136,1.798438811421799,1.434308343293412,2015
801,2015-06-30,日本,2.4,2,JPN,1.592204680007842,1.124045326538116,0.0652401592231567,2015
802,2015-09-30,日本,2.2,3,JPN,1.259251947808695,1.2653634599936,1.335250083439655,2015
803,2015-12-31,日本,1.5,4,JPN,1.43474083745131,1.34924844918166,1.601137785455428,2015
804,2016-03-31,日本,1,1,JPN,1.813882003415242,1.77680153504231,1.501375610602002,2016
805,2016-06-30,日本,0.5,2,JPN,1.53068477749341,1.187591934713519,0.2243617409925619,2016
806,2016-09-30,日本,0.5,3,JPN,1.099613373288739,1.286952265718632,1.25241803738097,2016
807,2016-12-31,日本,1,4,JPN,1.372002124831113,1.425848863882857,1.741163970269817,2016
808,2017-03-31,日本,1,1,JPN,2.006342889942696,1.961675823387673,1.647378848039227,2017
809,2017-06-30,日本,1.4,2,JPN,1.489213769587191,1.575211505359484,0.1455561693823828,2017
810,2017-09-30,日本,2,3,JPN,1.193852317125864,1.485140279880325,1.468281234733869,2017
811,2017-12-31,日本,2.2,4,JPN,1.637272278969248,1.773164169796143,2.005389079409944,2017
812,2018-03-31,日本,1.4,1,JPN,2.171609213189037,2.207700761269105,1.740649972538066,2018
813,2018-06-30,日本,1.3,2,JPN,0.0876876412256404,0.0803322853717545,0.1369949697220743,2018
814,2018-09-30,日本,0,3,JPN,1.122793215398926,1.51075996014426,1.354394021570431,2018
815,2018-12-31,日本,-0.1,4,JPN,1.530012034689211,1.495271550386287,1.888681216911808,2018
816,2019-03-31,日本,-0.2,1,JPN,2.012101972739497,1.923009116069212,1.708799474950269,2019
817,2019-06-30,日本,0,2,JPN,1.506056517955865,1.418100847960148,0.1641952052256923,2019
818,2019-09-30,日本,0.6,3,JPN,1.231500377793362,1.481768604874131,1.496538888457622,2019
819,2019-12-31,日本,-2,4,JPN,1.612438804159323,1.630883192559053,1.836732077222731,2019
820,2020-03-31,日本,-1.7,1,JPN,1.655005523645851,1.847738772062528,1.610925700487468,2020
821,2020-06-30,日本,-9.7,2,JPN,1.530576265601115,1.280616071685311,0.1901955315684273,2020
822,2020-09-30,日本,-5,3,JPN,0.6021676137402204,1.562767449022335,1.295766374380317,2020
823,2020-12-31,日本,-0.4,4,JPN,1.530589057571952,1.605319190442309,1.934525728652154,2020
824,2021-03-31,日本,-0.6,1,JPN,0.1293737424062234,0.1190497004157987,0.1003404783298345,2021
825,2021-06-30,日本,8,2,JPN,0.0958345997085895,0.0746948984900735,0.0129692684190764,2021
826,2021-09-30,日本,2.3,3,JPN,0.0652227503261003,0.0875797150293553,0.0788799890135582,2021
827,2021-12-31,日本,1.6,4,JPN,0.0920200861370105,0.0885915548248709,0.102802060588143,2021
828,2022-03-31,日本,0.7,1,JPN,0.1295679890072707,0.1311088744476324,0.1047739440515248,2022
829,2022-06-30,日本,1.7,2,JPN,0.0994078569182954,0.0836845129220145,0.0131800894481391,2022
830,2022-09-30,日本,1.7,3,JPN,0.0035691659246415,0.0717606038036294,0.0903580013562339,2022
831,2022-12-31,日本,0.7,4,JPN,0.0932872056708441,0.089477108826326,0.1255133894193756,2022
832,2023-03-31,日本,2.6,1,JPN,0.1374940853489499,0.1252071019913959,0.1000343486366844,2023
833,2023-06-30,日本,2.2,2,JPN,0.089171958691879,0.0735347031855619,0.0064149352175088,2023
834,2023-09-30,日本,1.5,3,JPN,0.0745416101154472,0.0915615590536949,0.0945510622452015,2023
835,2023-12-31,日本,1,4,JPN,0.0994463395609684,0.1026210184974379,0.1050884663331356,2023
900,2013-03-31,印度,4.3,1,IND,0.6922526029666466,0.6728306948693236,0.6843107041934462,2013
901,2013-06-30,印度,6.45,2,IND,0.712998807095933,0.6440688127368357,0.41429397952978,2013
902,2013-09-30,印度,7.34,3,IND,0.2507680144709875,0.3666026868463766,0.5055299682436382,2013
903,2013-12-31,印度,6.53,4,IND,0.7140833785433248,0.84802059065128,0.7458659619613376,2013
904,2014-03-31,印度,5.34,1,IND,0.6688063305411847,0.7273164891931703,0.776194720276513,2014
905,2014-06-30,印度,8.02,2,IND,0.800073643600793,0.6596828905385977,0.5329978181409267,2014
906,2014-09-30,印度,8.7,3,IND,0.5129979747526296,0.5474184790622004,0.6863273270783834,2014
907,2014-12-31,印度,5.92,4,IND,0.7662951541245716,0.9676425876878152,0.7763009137641887,2014
908,2015-03-31,印度,7.11,1,IND,0.7135669561933367,0.8702228135044274,0.8095376300868693,2015
909,2015-06-30,印度,7.59,2,IND,0.804414911304624,0.6754084188354699,0.5400891979566896,2015
910,2015-09-30,印度,8.03,3,IND,0.5140071214849847,0.551631051479678,0.6253217975310434,2015
911,2015-12-31,印度,7.2,4,IND,0.7231166499729136,0.8698561953981572,0.796358982037059,2015
912,2016-03-31,印度,9.09,1,IND,0.8509054601662771,0.8273359894523468,0.7600068460835012,2016
913,2016-06-30,印度,8.68,2,IND,0.742202123889599,0.7396676124274123,0.6226435226104229,2016
914,2016-09-30,印度,9.67,3,IND,0.4430161118625854,0.5399603153611787,0.649895478894913,2016
915,2016-12-31,印度,8.58,4,IND,0.8530260852887322,0.8294703204943719,0.8568235526380614,2016
916,2017-03-31,印度,6.29,1,IND,0.8093144358359009,0.9456726348813675,0.914149813823628,2017
917,2017-06-30,印度,6.11,2,IND,1.000801559465134,0.912097831593827,0.7930034049047544,2017
918,2017-09-30,印度,5.32,3,IND,0.6061959212433456,0.7655728618838435,0.8970683596073717,2017
919,2017-12-31,印度,6.67,4,IND,1.079729045218258,0.9665544187918624,0.8533733252488137,2017
920,2018-03-31,印度,8.93,1,IND,0.8420250898193004,0.9828990343165932,0.9748464155372026,2018
921,2018-06-30,印度,7.5,2,IND,0.3581792757719079,0.2890716803581342,0.8392567210927273,2018
922,2018-09-30,印度,6.46,3,IND,0.5091311861066957,0.6209351859068151,0.8552086834972559,2018
923,2018-12-31,印度,6.23,4,IND,0.945991698482928,1.056649920514897,0.8956878459180936,2018
924,2019-03-31,印度,5.72,1,IND,0.8843476565911575,0.9397803654208194,1.026416936578463,2019
925,2019-06-30,印度,5.1,2,IND,1.026408723699443,1.030958758479634,0.8863496093932319,2019
926,2019-09-30,印度,4.3,3,IND,0.6198044322386025,0.6564949537200361,0.651056682716565,2019
927,2019-12-31,印度,3.26,4,IND,1.034527912802946,0.905989984370871,0.8433456417866558,2019
928,2020-03-31,印度,2.94,1,IND,0.8105557744942818,1.082119421852973,1.045816783366523,2020
929,2020-06-30,印度,-23.13,2,IND,1.079458387661272,0.9597140939886954,0.8016434232075209,2020
930,2020-09-30,印度,-5.84,3,IND,0.6765340578105189,0.6310875085703698,0.7092867094980281,2020
931,2020-12-31,印度,1.78,4,IND,0.9274690612562192,1.182062098125961,1.013364793719411,2020
932,2021-03-31,印度,3.29,1,IND,0.2906739608201537,0.3419202274076739,0.3717158495386689,2021
933,2021-06-30,印度,22.63,2,IND,0.3925977138294349,0.3419199677159359,0.3040340002062505,2021
934,2021-09-30,印度,9.87,3,IND,0.2575419958577455,0.2494433122608685,0.2654070232383899,2021
935,2021-12-31,印度,5.53,4,IND,0.347829830160775,0.3829209643827081,0.3574129001212026,2021
936,2022-03-31,印度,4.45,1,IND,0.328758375285862,0.3790810012753839,0.4249158669988398,2022
937,2022-06-30,印度,12.81,2,IND,0.4045656887505064,0.4027069082857666,0.3587840358345422,2022
938,2022-09-30,印度,5.46,3,IND,0.0504543641274627,0.2697881939229682,0.3741715341333077,2022
939,2022-12-31,印度,4.26,4,IND,0.4082501995014787,0.3853649784493909,0.374950911430701,2022
940,2023-03-31,印度,6.18,1,IND,0.3640034343350435,0.4259599253138793,0.4093597387080405,2023
941,2023-06-30,印度,8.24,2,IND,0.456106774399597,0.4344351534880465,0.3829046349726263,2023
942,2023-09-30,印度,8.08,3,IND,0.2484854360451147,0.3593309887731769,0.3468539621237889,2023
943,2023-12-31,印度,8.57,4,IND,0.4324070377615603,0.4642707129687199,0.4086588557109032,2023
1173,2013-03-31,英国,0.99,1,GBR,2.151880695719259,2.163221132497997,2.317979414298451,2013
1174,2013-06-30,英国,1.86,2,GBR,0.7409304528170304,0.0,0.0,2013
1175,2013-09-30,英国,1.74,3,GBR,0.0,0.0,1.451156174385614,2013
1176,2013-12-31,英国,2.57,4,GBR,1.950107589171004,2.075488385842106,1.934428872344788,2013
1177,2014-03-31,英国,3.12,1,GBR,1.952352299403856,2.097684316843148,1.950471181229319,2014
1178,2014-06-30,英国,3.27,2,GBR,0.0187441320410386,0.0,0.0,2014
1179,2014-09-30,英国,3.19,3,GBR,0.0,0.0,2.022718322812024,2014
1180,2014-12-31,英国,3.2,4,GBR,2.017650995001192,2.326943087711821,2.177680314809691,2014
1181,2015-03-31,英国,2.66,1,GBR,2.523846337195316,2.073686637023277,2.059653911720404,2015
1182,2015-06-30,英国,2.36,2,GBR,0.0,0.0,0.0,2015
1183,2015-09-30,英国,2,3,GBR,0.0,0.0,1.534930636398849,2015
1184,2015-12-31,英国,1.87,4,GBR,1.81890404821525,1.916593724058277,1.882563230688852,2015
1185,2016-03-31,英国,1.94,1,GBR,2.058226730822084,2.079088687866496,1.881345439750133,2016
1186,2016-06-30,英国,1.91,2,GBR,0.0460203762824285,0.0,0.0,2016
